movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,elapsed_time,gaze,blink,eye_offset
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,49,0.347422,6.39E-05,6.75774,0.082858,13.3189,0.0232918,79.4697,neutral,50,0,0,35.4713
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,50,46.9672,0.00020552,1.77683,28.6907,0.188982,20.4609,1.91518,angry,#N/A,1,0,-3.0659
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,51,11.4079,0.023195,11.2591,3.20707,12.4699,1.69221,59.9406,neutral,#N/A,0,0,28.8387
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,52,71.1725,8.51E-05,5.75654,0.254491,5.11072,8.80042,8.9053,angry,53,0,0,32.6926
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,53,59.5819,0.0210813,21.4116,0.125168,9.68029,0.915371,8.26453,angry,#N/A,1,0,0.3921
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,54,1.6832,1.12E-07,3.33622,3.98E-05,91.5636,0.000367175,3.41653,sad,#N/A,1,0,-0.1202
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,55,6.90915,0.00115252,38.985,19.8201,1.67128,20.3661,12.2472,fear,56,1,0,-4.5098
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,57,1.39394,0.000383183,20.6086,0.0558705,1.77897,2.58155,73.5807,neutral,#N/A,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,59,13.5113,1.4539,28.364,5.67092,27.7544,1.0724,22.1731,fear,58,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,60,2.30382,0.000170375,66.5249,1.40476,3.16517,6.58744,20.0138,fear,#N/A,1,0,-2.0993
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,61,42.4961,6.88E-05,8.71667,0.823081,18.479,1.26375,28.2214,angry,#N/A,1,0,-1.0737
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,62,5.33016,0.138695,4.26616,66.2223,10.3176,1.54849,12.1766,happy,61,1,0,-2.6189
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,63,3.00623,0.25645,71.4018,3.31896,17.9332,0.658682,3.42465,fear,62,1,0,0.6282
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,65,0.557307,4.56E-07,1.47404,0.00370501,1.71337,0.201613,96.05,neutral,#N/A,#N/A,#N/A,#N/A
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,66,8.498,0.034197,9.166,1.55826,70.8729,0.0521416,9.81849,sad,#N/A,1,0,-7.2342
93663f94-bf0a-4ce8-a29a-a5236cc7fe6a,67,57.2295,0.000669647,3.14597,3.59689,4.20499,0.21966,31.6023,angry,65,0,0,46.1379
